"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"Biognosys|iRT-Kit_WR_fusion",11,11,11,11,11,11,0.637404498874763,0.759204878710062,33.7039290872497,33.6352540071654,33.4491028043851,33.7031781695072,33.6379239570868,33.6267932316048
"sp|Cont_A2I7N1|SPA35_BOVIN;CON__A2I7N1;sp|Cont_A2I7N2|SPA36_BOVIN;sp|Cont_A6QPQ2|SPA38_BOVIN",5,6,4,5,4,5,0.117287232311214,0.268441598572475,25.0735757090291,25.1642915710033,23.9563970391555,25.4818420078065,25.303093009576,25.297907586005
"sp|Cont_A2I7N3|SPA37_BOVIN;CON__REFSEQ:XP_001252647;CON__A2I7N3",0,0,1,0,1,1,0.466913162888865,0.624855944885039,NA,NA,23.296602152029,NA,23.4267065963109,23.5464782048238
"CON__ENSEMBL:ENSBTAP00000007350;CON__P01030;sp|Cont_P01030|CO4_BOVIN",10,10,12,12,12,12,0.0499988016453251,0.152224654471202,26.8854916281192,26.8582335654285,27.0527493815539,27.3446414944875,27.1489276084618,27.2095726869339
"CON__ENSEMBL:ENSBTAP00000014147",3,3,2,2,2,2,0.73403758781206,0.831798801538722,26.7051112010874,26.6898418780224,26.6341055790412,26.2816290713568,26.7707239485203,26.7924151357807
"CON__ENSEMBL:ENSBTAP00000024146;sp|Cont_Q7SIH1|A2MG_BOVIN;sp|P01023|A2MG_HUMAN;sp|P20742|PZP_HUMAN",19,21,21,19,19,23,0.55392024540552,0.694398354256976,28.5798875915788,28.6926264225571,28.3474078722535,28.6678237320011,28.4419273669817,28.8090850707272
"CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462",9,10,10,10,9,9,0.499407723111008,0.652493954024157,26.6863832413933,26.6596442926473,26.6543465517851,26.6060412664125,26.8204211511054,26.8280390455114
"tr|Cont_E1BJK2|E1BJK2_BOVIN;CON__ENSEMBL:ENSBTAP00000025008",0,0,1,1,0,1,0.0227258327434371,0.0844819030369428,NA,NA,21.5729971110791,23.3519862164461,NA,24.1629988441758
"CON__ENSEMBL:ENSBTAP00000034412",4,5,3,5,2,3,0.573659030552134,0.709302545165446,26.4794718794166,27.0702443091553,26.5045240566452,26.9952025020959,26.6516712768766,26.7774868942533
"CON__P00735;sp|Cont_P00735|THRB_BOVIN;sp|P00734|THRB_HUMAN",7,7,8,8,9,8,0.222203328223709,0.394775712510703,28.6724896551329,28.3240293842277,28.6213826732992,28.8810931897453,28.5588131790845,28.8290448785737
"sp|Cont_P00761|TRYP_PIG;CON__P00761",6,5,6,5,6,6,0.602931340082071,0.731876355317248,33.5051226433478,33.4426888620926,33.3744813974104,33.5565671461944,33.4777718545563,32.9885069329499
"sp|Cont_P01044|KNG1_BOVIN;CON__Q2KJ62;CON__P01044-1;sp|Cont_P01045|KNG2_BOVIN;CON__P01045-1",1,1,1,1,1,2,0.328379378461011,0.503091906370582,23.666210908346,23.6329199340754,23.4283892211964,23.3781954062323,23.9741414977386,24.0600782199596
"sp|Cont_P01966|HBA_BOVIN;CON__P01966",7,7,7,7,7,7,0.319588756296224,0.49332235520925,31.8695230435476,32.2468887853125,31.823486496414,32.3141301902708,32.0393588205131,32.1242687908713
"sp|Cont_P02070|HBB_BOVIN;CON__P02070",0,3,2,2,2,3,0.456722529218385,0.615594387532418,NA,24.7715708063178,23.9526658648809,24.7879252122014,24.2901252458266,24.7853257109943
"sp|Cont_P02769|ALBU_BOVIN;CON__P02769;sp|P02768|ALBU_HUMAN;CON__P02768-1",24,25,26,25,25,26,0.203430586054618,0.377298599258935,30.8128277354554,30.8820325222413,30.9872588161515,30.9128762419834,31.1265646788978,31.2069552969193
"CON__P05787;sp|Cont_P05787|K2C8_HUMAN;sp|P05787|K2C8_HUMAN;CON__H-INV:HIT000292931;CON__Q9H552;CON__Q8BGZ7;sp|Cont_Q8BGZ7|K2C75_MOUSE;CON__REFSEQ:XP_092267;sp|P02538|K2C6A_HUMAN;sp|Cont_P50446|K2C6A_MOUSE;sp|Cont_P48668|K2C6C_HUMAN;CON__P02538;CON__P04259;CON__P48668;sp|Cont_P02538|K2C6A_HUMAN;sp|Cont_P04259|K2C6B_HUMAN;sp|Cont_Q922U2|K2C5_MOUSE;sp|P04259|K2C6B_HUMAN;sp|P48668|K2C6C_HUMAN;CON__Q922U2;CON__O95678;sp|Q9NSB2|KRT84_HUMAN;sp|Cont_Q9NSB2|KRT84_HUMAN;CON__Q9NSB2;CON__Q6ISB0;CON__Q5XQN5;CON__P50446;sp|Cont_O95678|K2C75_HUMAN;CON__Q9DCV7;CON__P08729;sp|O95678|K2C75_HUMAN;CON__Q3KNV1;sp|Cont_P08729|K2C7_HUMAN;sp|P08729|K2C7_HUMAN;sp|Cont_Q9DCV7|K2C7_MOUSE;sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794;sp|Q14CN4|K2C72_HUMAN;CON__Q14CN4-1;sp|Cont_Q14CN4|K2C72_HUMAN;sp|Cont_P13647|K2C5_HUMAN;CON__P19013;CON__Q7RTS7;CON__Q6IFZ6;sp|P12035|K2C3_HUMAN;sp|Cont_P12035|K2C3_HUMAN;CON__P12035;sp|Q01546|K22O_HUMAN;CON__Q01546;sp|Cont_Q01546|K22O_HUMAN;sp|Cont_P35908|K22E_HUMAN;sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;sp|Cont_Q3TTY5|K22E_MOUSE;sp|Cont_Q7Z794|K2C1B_HUMAN;sp|Cont_Q6IFZ6|K2C1B_MOUSE;CON__Q8VED5;CON__Q6IME9;sp|Cont_Q8VED5|K2C79_MOUSE;sp|Cont_Q5XKE5|K2C79_HUMAN;sp|Q5XKE5|K2C79_HUMAN;CON__Q5XKE5;CON__Q6NXH9;sp|Cont_Q6NXH9|K2C73_MOUSE;CON__Q32MB2;sp|Q86Y46|K2C73_HUMAN;sp|Cont_Q86Y46|K2C73_HUMAN;sp|Cont_Q7RTS7|K2C74_HUMAN;sp|Q3SY84|K2C71_HUMAN;sp|Cont_Q3SY84|K2C71_HUMAN;CON__P13647;sp|P13647|K2C5_HUMAN;sp|Q7RTS7|K2C74_HUMAN;CON__P07744;sp|Cont_P07744|K2C4_MOUSE;CON__Q9R0H5;sp|Cont_Q9R0H5|K2C71_MOUSE;CON__Q3SY84;sp|Cont_Q6IME9|K2C72_MOUSE;sp|P19013|K2C4_HUMAN;sp|Cont_P19013|K2C4_HUMAN;CON__Q3TTY5",18,19,18,18,18,19,0.458393090785031,0.616616129333968,31.3398144415148,31.4243485896782,31.3664629449598,31.2419595465248,31.6430267341714,31.5960186903418
"CON__P08727;sp|Cont_P08727|K1C19_HUMAN;sp|P08727|K1C19_HUMAN;CON__A2A4G1;sp|Cont_P19001|K1C19_MOUSE;CON__P19001;CON__ENSEMBL:ENSP00000377550;CON__P13646-1;sp|P13646|K1C13_HUMAN;sp|Cont_P13646|K1C13_HUMAN;sp|Q8N1A0|KT222_HUMAN;sp|P19012|K1C15_HUMAN;CON__P19012;CON__Q9Z2K1;CON__Q61782;sp|Cont_Q9Z2K1|K1C16_MOUSE;CON__P02533;sp|Cont_P19012|K1C15_HUMAN;sp|Cont_P02533|K1C14_HUMAN;CON__P08779;sp|Cont_P08779|K1C16_HUMAN;sp|P02533|K1C14_HUMAN;CON__Q9QWL7;CON__Q6IFX2;sp|P08779|K1C16_HUMAN;sp|Cont_Q6IFX2|K1C42_MOUSE;sp|Cont_Q9QWL7|K1C17_MOUSE;CON__Q04695;sp|Q04695|K1C17_HUMAN;sp|Cont_Q9D312|K1C20_MOUSE;CON__Q9D312;sp|P35900|K1C20_HUMAN;CON__P35900;sp|Cont_P35900|K1C20_HUMAN;CON__Q8N1A0;sp|Cont_Q8N1A0|KT222_HUMAN;sp|Cont_Q04695|K1C17_HUMAN;CON__Q3ZAW8",10,10,9,11,9,9,0.463240733149925,0.621229335818154,28.3548009086093,28.7105253163912,28.1636612744958,28.3654672685118,28.2941696540512,28.1584058549736
"sp|Cont_P08730|K1C13_MOUSE;CON__P08730-1",1,0,1,0,0,1,0.378119343646456,0.547195129594711,26.5266483914515,NA,24.4030210713701,NA,NA,26.6408048796535
"CON__P12763;sp|Cont_P12763|FETUA_BOVIN;sp|P02765|FETUA_HUMAN",9,8,9,10,9,9,0.118371674952455,0.270102640118783,31.1531521503828,31.0709946438883,31.1438368036372,31.2142637330612,31.3622522209393,31.4246738458261
"sp|P13645|K1C10_HUMAN;sp|Cont_P13645|K1C10_HUMAN;CON__P13645",3,3,4,4,4,5,0.27044907172392,0.445132570509533,24.4588803474047,23.8818891573194,25.236680305506,24.7540808644554,24.7324194641815,25.6302396813007
"CON__P15497;sp|Cont_P15497|APOA1_BOVIN;sp|P02647|APOA1_HUMAN",10,10,10,10,10,10,0.0627353994283347,0.177815893737275,29.5232208613481,29.1801002938452,29.526527194781,29.8197954851641,29.6801874257839,29.7167230987792
"sp|Cont_P17690|APOH_BOVIN;CON__P17690",1,2,2,1,2,2,0.908389478207437,0.941388853438711,23.4164505887157,23.6901177015661,23.7059473757692,22.6909742767227,24.0478649467394,24.2262124667283
"sp|Cont_P34955|A1AT_BOVIN;CON__P34955",12,10,11,11,13,10,0.220553530645531,0.393414351185287,29.6982481816801,29.3974781532501,29.5341621752945,29.7692959582987,30.0724365038746,29.5297519639918
"CON__P41361;sp|Cont_P41361|ANT3_BOVIN;sp|P01008|ANT3_HUMAN",2,3,2,2,3,2,0.8005165719384,0.87386809369617,27.0956511674644,27.1006492299386,26.7538592541311,26.2572791227933,27.3407342613279,27.1083904575386
"CON__Q03247;sp|Cont_Q03247|APOE_BOVIN;sp|P02649|APOE_HUMAN",4,3,4,4,4,4,0.062178159388962,0.176791015808263,25.7716392221968,25.2547741272334,25.5310379698185,25.782841022742,25.9266715627536,26.0263593221212
"tr|Cont_Q05B55|Q05B55_BOVIN;CON__Q05B55",4,5,2,3,5,4,0.34477940383143,0.517284448644471,26.1980016312374,26.427634784669,25.4521566847546,26.459222658922,26.3006601854328,26.1639284451162
"CON__Q29443;sp|Cont_Q29443|TRFE_BOVIN;CON__Q0IIK2;sp|P02788|TRFL_HUMAN",19,23,21,23,22,22,0.0941561720710772,0.231320057323071,29.7097181761472,29.8368797589559,29.7958019386924,30.0261676171684,29.9767882514217,29.9762856244941
"CON__Q1RMK2;tr|Cont_G5E513|G5E513_BOVIN;tr|Cont_A0A3Q1M032|A0A3Q1M032_BOVIN",8,10,12,10,11,12,0.0743797413487591,0.198258213223418,27.2029249304594,27.454538013318,27.8406535181447,27.7450487214945,28.0152320701985,28.0463846337851
"tr|Cont_Q1RMN8|Q1RMN8_BOVIN;CON__Q1RMN8",3,3,3,3,3,3,0.101169816033973,0.242914521544872,27.7832191978238,28.0795297638645,27.886599148643,27.722670464745,29.5315031087636,29.4626571269254
"sp|Cont_Q28065|C4BPA_BOVIN;CON__Q28065",4,3,2,4,4,3,0.0760894479764717,0.201292135022355,25.535675969308,25.3607122475014,25.3080365823194,25.4416053808678,25.9892769877654,26.1166421665784
"sp|Cont_Q28085|CFAH_BOVIN;CON__Q28085",2,2,3,2,1,2,0.869512896615587,0.917127955362358,23.9534023681671,23.4702817986942,24.3705585794763,24.1352469411551,23.494491522088,24.3281428483624
"CON__Q28107;sp|Cont_Q28107|FA5_BOVIN;sp|P12259|FA5_HUMAN",9,8,3,8,8,6,0.273050966924717,0.448058283360161,26.7876049375354,26.3330873907632,25.4391223939825,26.8401711912177,26.794472129248,26.2869897065489
"CON__Q28194;sp|Cont_Q28178|TSP1_BOVIN;sp|P07996|TSP1_HUMAN",2,2,1,2,3,2,0.0112057077566159,0.0491528035382435,23.9424812348897,23.4329733155271,23.5460718832465,24.2367638411458,24.7341779981691,24.2704817747723
"sp|Cont_Q2KJF1|A1BG_BOVIN;CON__Q2KJF1",3,3,2,2,3,3,0.559462192060624,0.698825043884407,25.9882865105225,25.7448242350449,23.5816812984582,25.4641576119063,25.3882806892624,25.6658294921652
"sp|Cont_Q2UVX4|CO3_BOVIN;CON__Q2UVX4;sp|P01024|CO3_HUMAN",16,15,15,16,16,15,0.0731584303890127,0.196276596494988,28.1430709788889,27.8898457050768,27.9107423959851,28.1641836038877,28.3271379770961,28.2909163190966
"CON__Q3MHN2;sp|Cont_Q3MHN2|CO9_BOVIN;sp|P02748|CO9_HUMAN",1,1,1,1,1,2,0.631508266979609,0.754403582816995,24.6617786620307,24.3303619465673,23.7376022701169,22.8829653761716,24.319100096884,24.728010463062
"sp|Cont_P02081|HBBF_BOVIN;CON__Q3SX09;sp|P68871|HBB_HUMAN;sp|P02042|HBD_HUMAN",8,9,9,9,9,9,0.356773022551236,0.530056072307296,30.4637287796475,30.5334517266426,30.5217662096192,30.4101073027963,30.7727794248418,30.7639962564907
"sp|Cont_Q3SX14|GELS_BOVIN;CON__Q3SX14;sp|P06396|GELS_HUMAN",8,7,7,7,7,7,0.424965447312146,0.585542510203195,27.1130038660535,26.7845882122588,26.9984993254632,26.9856797279774,27.1116263610428,27.1455907970131
"CON__Q3T052;sp|Cont_Q3T052|ITIH4_BOVIN;sp|Q14624|ITIH4_HUMAN",11,11,12,14,12,11,0.410767569340075,0.57314634906685,29.1079500449746,28.689784408146,28.4977867312017,29.0112853946966,28.8979691603478,28.8750720911794
"sp|Cont_Q3ZBD7|G6PI_BOVIN;CON__Q3ZBD7",1,1,1,1,1,1,0.38359679972584,0.551588268988334,27.1374843832325,26.4169814139727,26.8017250656302,27.3233117336955,26.7342840480527,26.9925107784008
"tr|Cont_Q3ZBS7|Q3ZBS7_BOVIN;CON__Q3ZBS7;sp|P04004|VTNC_HUMAN",4,3,4,3,3,4,0.498949971170643,0.652273139394955,26.4437928765686,25.932581840909,26.5961035615923,26.357814209892,26.3695589772099,26.7170491298039
"CON__Q95121;sp|Cont_Q95121|PEDF_BOVIN;sp|P36955|PEDF_HUMAN",6,6,3,6,4,5,0.454133195579393,0.613752251758211,25.9033581301398,25.9073592914697,25.1688324320902,25.9678187900315,25.5400950669938,26.1207034507517
"sp|Cont_Q9N2I2|IPSP_BOVIN;CON__Q9N2I2",2,2,1,2,2,2,0.969222265175795,0.979849226687009,25.250886546157,24.9539486348783,24.4670372794244,25.0484582789808,24.7224341115234,24.9286751601391
"sp|Cont_Q9TTE1|SPA31_BOVIN;CON__Q9TTE1",2,3,2,2,2,2,0.799423476838148,0.873046958751451,24.0857589907856,25.9001051700594,23.741499926667,24.4375303314115,24.249151089826,24.5842223987103
"REV__CON__ENSEMBL:ENSBTAP00000001528;REV__sp|Q15811|ITSN1_HUMAN",0,1,1,2,1,1,0.510300617674235,0.66080200362631,NA,21.5225350735618,25.0606054373793,25.590948147096,22.9352795160708,24.1487062725356
"REV__sp|C9JL84|HHLA1_HUMAN",1,0,1,0,0,0,NA,NA,23.7686938659472,NA,24.8547864246055,NA,NA,NA
"REV__sp|O15355|PPM1G_HUMAN",1,1,0,1,0,0,0.121096288213113,0.274352155134153,26.2106367884582,24.4098817280004,NA,27.4346967182427,NA,NA
"REV__sp|O60343|TBCD4_HUMAN",2,2,1,2,2,1,0.276144216436749,0.450729613389173,25.4911598904183,25.7996424090099,23.808677028568,24.7225045154776,24.8284762300163,22.8382966156762
"REV__sp|O75592|MYCB2_HUMAN",2,2,2,2,2,2,0.0282700112149298,0.100649259786488,26.5374075229777,26.6339478096648,26.6135765802021,26.4124051659225,26.0060383175717,26.0964298090872
"REV__sp|O75762|TRPA1_HUMAN",1,0,0,0,1,1,0.600051516996235,0.730291575754636,24.8166642640089,NA,NA,NA,24.5300421295536,26.0966398319888
