"protein_group","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_B_1","number_of_peptides_B_1","number_of_peptides_B_1","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"Q86U42",4,7,8,6,7,7,21.1879840895581,21.2101853523104,0.128530977520982,0.107645115323491,0.246593280675948
"O75822",12,14,14,11,11,14,22.1900102661214,22.1917855955279,0.0396869608977849,0.444988644999653,0.784190340002728
"Q9H3H3",NA,NA,NA,3,2,NA,19.3828312532196,19.5712712777854,0.119976216024799,0.714451704876813,1
"Q96P70",6,9,9,3,9,11,20.8567509246795,20.9493022852969,0.029264355530865,0.713710486858444,1
"P28482",11,11,14,14,11,13,22.1381570837284,22.1681183822667,0.0400519196696695,0.493499632005643,0.855680373760113
"Q8WVM8",11,10,12,14,14,12,20.6625200446614,20.6825775683903,0.154387444419212,0.0153933414743671,0.0487964302112369
"Q9Y2Z0",13,12,12,12,15,14,22.1257480603469,22.0204958446648,0.0983080594239584,0.0478122875928907,0.125486451474529
"Q7L5D6",7,NA,NA,7,5,5,21.2886985920272,21.3599530310293,4.84547606923268e-18,0.999999996152862,1
"P27361",2,NA,NA,NA,NA,NA,20.7044200270358,19.9576998693932,-0.458818149843256,0.0292746905995171,0.0837309479955898
"Q5VYK3",28,22,21,29,28,17,20.304675415596,20.3667758005185,0.20212107950845,0.017065532047879,0.0533917475688829
"O43324",7,5,7,7,7,5,22.7520156284888,22.7675715234913,0.215121924191552,0.0196989849158837,0.0603081452355186
"Q00796",9,11,11,8,6,8,20.7883047429816,20.8977924725173,0.118549678498579,0.423424088111907,0.75373771907408
"P42566",14,13,16,16,14,14,20.1748587699026,20.3329817576487,0.287436236805811,0.000257292875217687,0.00140433484529364
"A6NHR9",30,36,35,36,35,38,20.9097033066039,20.8982281740809,0.130951624850652,0.00271447244128634,0.0107559951539859
"P55263",NA,8,7,7,5,9,20.4431438851642,20.2709509372616,2.25349767188555e-20,0.999999999775986,1
NA,NA,NA,NA,NA,NA,NA,20.3667968014141,20.3558866889937,1.52115083478676e-19,0.999999999379064,1
"P62877",1,3,2,2,2,3,21.0809950019095,21.0675469637535,1.53225656122366e-19,0.999999999243681,1
"Q9NWH9",7,9,10,7,8,10,20.7582446482822,20.6997833027232,1.2719040400785e-20,0.999999999803613,1
NA,NA,NA,NA,NA,NA,NA,19.5585398668647,19.7904474822831,8.37928048674081e-20,0.999999999662398,1
"Q9NS69",7,7,8,8,7,8,21.0678801544042,21.0598749075825,0.0641280239929908,0.264923037474699,0.513124327262921
"O75427",2,NA,NA,NA,NA,NA,18.2904446999547,18.4039505734921,7.25992353191546e-20,0.999999999834604,1
"O43583",8,9,8,7,9,8,21.6552775826318,21.4722605147323,1.63945057900719e-20,0.999999999809339,1
"Q96BP3",12,9,12,10,10,9,20.0964231506268,19.993005346073,1.47792557881732e-11,0.999993100769464,1
"Q9UL63",7,3,6,9,6,NA,19.5375455586494,19.8690421342952,0.612942690249735,0.000497596250495255,0.00242503509705813
"P30566",12,11,9,10,12,10,21.1543586129703,21.0649817194952,0.0779711570911857,0.133914970649225,0.296602272382128
"P26641",20,20,21,22,18,19,22.5096087219788,22.404801611494,0.0673843638666383,0.165549017220993,0.352894875966236
"O95249",2,NA,NA,3,NA,2,20.2593276411926,20.5267246690946,0.422513899960057,0.0288087090856344,0.0827436572395819
"P52272",46,48,54,46,49,54,21.9772081127532,21.8564703186727,0.0270015581836002,0.312097202008082,0.587883309135851
"O94888",NA,5,7,8,8,8,20.4457412263161,20.5152166866974,0.272582374685101,0.000466136075572036,0.0023024929382465
"Q9H7E9",NA,2,NA,2,2,2,20.3164249344488,20.2490004719442,0.0150625064204501,0.729954015647803,1
"P35269",7,8,8,7,8,9,20.8649341778198,20.6871954007279,2.73111502715244e-20,0.99999999966169,1
