Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.0335413166666667	10/10/2023	11:36:29	10/10/2023	11:36:31
Assemble run info 	0.251368166666667	10/10/2023	11:36:31	10/10/2023	11:36:46
Finish run info 	0.03344655	10/10/2023	11:36:46	10/10/2023	11:36:48
Testing fasta files 	0.050118	10/10/2023	11:36:48	10/10/2023	11:36:51
Testing raw files 	0.0846942	10/10/2023	11:36:51	10/10/2023	11:36:56
Feature detection 	1.18488231666667	10/10/2023	11:36:56	10/10/2023	11:38:07
Deisotoping 	2.03488473333333	10/10/2023	11:38:07	10/10/2023	11:40:09
MS/MS preparation 	1.81825721666667	10/10/2023	11:40:09	10/10/2023	11:41:58
Calculating peak properties 	0.101379083333333	10/10/2023	11:41:58	10/10/2023	11:42:05
Combining apl files for first search 	1.25029495	10/10/2023	11:42:05	10/10/2023	11:43:20
Preparing searches 	6.38512675	10/10/2023	11:43:20	10/10/2023	11:49:43
MS/MS first search 	18.4537597	10/10/2023	11:49:43	10/10/2023	12:08:10
Read search results for recalibration 	1.76833003333333	10/10/2023	12:08:10	10/10/2023	12:09:56
Mass recalibration 	22.7539694333333	10/10/2023	12:09:56	10/10/2023	12:32:42
Calculating masses 	0.2513989	10/10/2023	12:32:42	10/10/2023	12:32:57
MS/MS preparation for main search 	1.71824608333333	10/10/2023	12:32:57	10/10/2023	12:34:40
Combining apl files for main search 	1.41694753333333	10/10/2023	12:34:40	10/10/2023	12:36:05
MS/MS main search 	16.1697606166667	10/10/2023	12:36:05	10/10/2023	12:52:15
Preparing combined folder  	0.133457983333333	10/10/2023	12:52:15	10/10/2023	12:52:23
Correcting errors 	1.11688873333333	10/10/2023	12:52:23	10/10/2023	12:53:30
Reading search engine results 	2.13495556666667	10/10/2023	12:53:30	10/10/2023	12:55:38
Preparing reverse hits 	0.0835746666666667	10/10/2023	12:55:38	10/10/2023	12:55:43
Finish search engine results 	0.167993366666667	10/10/2023	12:55:43	10/10/2023	12:55:53
Filter identifications (MS/MS) 	0.2180131	10/10/2023	12:55:53	10/10/2023	12:56:06
Calculating PEP 	3.63383368333333	10/10/2023	12:56:06	10/10/2023	12:59:44
Copying identifications 	0.101370283333333	10/10/2023	12:59:44	10/10/2023	12:59:50
Applying FDR 	0.466828533333333	10/10/2023	12:59:50	10/10/2023	13:00:18
Assembling second peptide MS/MS 	0.984777983333333	10/10/2023	13:00:18	10/10/2023	13:01:17
Combining second peptide files 	1.01690298333333	10/10/2023	13:01:17	10/10/2023	13:02:18
Second peptide search 	19.3868870666667	10/10/2023	13:02:18	10/10/2023	13:21:42
Reading search engine results (SP) 	1.28481983333333	10/10/2023	13:21:42	10/10/2023	13:22:59
Finish search engine results (SP) 	0.1013412	10/10/2023	13:22:59	10/10/2023	13:23:05
Filtering identifications (SP) 	0.118019016666667	10/10/2023	13:23:05	10/10/2023	13:23:12
Applying FDR (SP) 	1.56694991666667	10/10/2023	13:23:12	10/10/2023	13:24:46
Re-quantification 	0.0513845833333333	10/10/2023	13:24:46	10/10/2023	13:24:49
Reporter quantification 	0.05133945	10/10/2023	13:24:49	10/10/2023	13:24:52
Retention time alignment 	56.6239295	10/10/2023	13:24:52	10/10/2023	14:21:29
Matching between runs 1 	0.301359883333333	10/10/2023	14:21:29	10/10/2023	14:21:48
Matching between runs 2 	0.0501169166666667	10/10/2023	14:21:48	10/10/2023	14:21:51
Matching between runs 3 	0.333475333333333	10/10/2023	14:21:51	10/10/2023	14:22:11
Matching between runs 4 	0.0834523333333333	10/10/2023	14:22:11	10/10/2023	14:22:16
Prepare protein assembly 	0.56684315	10/10/2023	14:22:16	10/10/2023	14:22:50
Assembling proteins 	1.5848493	10/10/2023	14:22:50	10/10/2023	14:24:25
Assembling unidentified peptides 	0.0513558166666667	10/10/2023	14:24:25	10/10/2023	14:24:28
Finish protein assembly 	5.21747708333333	10/10/2023	14:24:28	10/10/2023	14:29:41
Updating identifications 	0.0681448833333333	10/10/2023	14:29:41	10/10/2023	14:29:45
Label-free preparation 	0.0334478166666667	10/10/2023	14:29:45	10/10/2023	14:29:47
Label-free normalization 	0.0334482166666667	10/10/2023	14:29:47	10/10/2023	14:29:49
Label-free quantification 	0.434760466666667	10/10/2023	14:29:49	10/10/2023	14:30:15
Label-free collect 	0.16678625	10/10/2023	14:30:15	10/10/2023	14:30:25
Estimating complexity 	0.101320166666667	10/10/2023	14:30:25	10/10/2023	14:30:31
Prepare writing tables  	0.05011525	10/10/2023	14:30:31	10/10/2023	14:30:34
Writing tables 	2.08502328333333	10/10/2023	14:30:34	10/10/2023	14:32:39
Finish writing tables  	0.166801816666667	10/10/2023	14:32:39	10/10/2023	14:32:49
