"","protein_group","number_of_peptides_Cu.complex_1","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","abundance_Cu.complex_1","abundance_DMSO_1","abundance_Mn.complex_1","abundance_Cu.complex_2","abundance_DMSO_2","abundance_Mn.complex_2","abundance_Cu.complex_3","abundance_DMSO_3","abundance_Mn.complex_3","abundance_Cu.complex_4","abundance_DMSO_4","abundance_Mn.complex_4","abundance_Cu.complex_5","abundance_DMSO_5","abundance_Mn.complex_5","abundance_Cu.complex_6","abundance_DMSO_6","abundance_Mn.complex_6","log_ratios_DMSO..vs.Cu.complex.","log_ratios_Mn.complex..vs.Cu.complex.","log_ratios_Mn.complex..vs.DMSO.","differential_abundance_qvalue_DMSO..vs.Cu.complex.","differential_abundance_qvalue_Mn.complex..vs.Cu.complex.","differential_abundance_qvalue_Mn.complex..vs.DMSO."
"1","sp|P49327|FAS_HUMAN",57,10,60,15,11,31,83,80,74,84,79,78,53,52,50,51,54,49,25.3357339468262,26.8950107871905,25.0217157191373,22.9589388672971,26.5815062134612,24.9174319957788,25.4699074484901,26.5175561013183,24.7826801359678,23.299609242339,26.6423985817703,25.5517998923504,22.9913490989272,26.282635427046,25.028410454065,23.7132455359495,26.7336397466852,24.8600023790039,2.64732711960707,1.06554273941235,-1.58178438019472,8.53102424076308e-07,0.00473745089620244,1.62599056355244e-06
"2","sp|O75369|FLNB_HUMAN",48,7,49,13,14,30,66,53,48,59,49,52,40,43,34,42,42,39,25.1220773962426,25.7842053881528,24.7206397474523,21.5164393357692,25.4419650691547,24.64041728444,25.2070426286515,25.1890920378342,24.4200438599192,23.0128638789037,25.5831914833493,25.4242985576905,22.7717005243945,25.2401454015422,24.6090883125117,23.6133310779791,25.5927167308649,24.51088873126,1.93131021149292,1.18032027522218,-0.750989936270733,0.000322879568514865,0.0106333099669991,0.000103910795554524
"3","sp|P10809|CH60_HUMAN",47,55,42,55,53,50,40,38,34,37,35,37,40,45,41,47,41,45,28.3122966327512,27.960164506603,28.5172947748965,29.0679973768982,27.586346984468,28.110995698801,27.9259747795682,27.5177586417878,27.9871618992244,29.1074916728506,27.8042083382021,29.076382431304,28.9028737312743,27.4105794495142,28.3047280049345,28.3892331163284,27.7679901259382,28.3380275517654,-0.9431365438596,-0.228546158124184,0.714590385735416,0.000812574394395584,0.475696119123333,0.0135500266150441
"4","CON__|ALBU_BOVIN|",45,60,44,53,60,42,41,41,45,40,38,37,52,52,50,61,52,47,28.0293901930098,27.5037386505544,28.7911239291058,29.4346339537529,27.3322689295746,28.3391116729443,28.4333518819929,27.8884718129722,28.5356165201949,29.1624856814167,27.3466456069222,30.050384423139,29.1054320373319,26.8687135883384,28.5572664259501,27.8159538309649,26.8759350097101,28.4616167068186,-1.3609123300662,0.125645349947266,1.48655768001347,0.000473722969798151,0.0640449010411388,0.000638532099033998
"5","sp|Q00610|CLH1_HUMAN",36,24,37,22,24,29,56,51,47,51,45,47,42,44,41,43,47,45,24.9448633238527,25.7851885281124,25.262360420399,23.9004024175087,25.4334766893002,25.0502168386552,24.8498180656774,25.2008625446332,24.9986077307937,24.0949415433552,25.4877949018036,25.7709888588312,23.8461885800219,25.1302770682635,25.1595649586485,24.0768265223666,25.5275977486752,25.1380423854604,1.14202617133427,0.944456790000916,-0.19756938133335,9.9208175669056e-05,0.00236872544810122,0.120573456394352
"6","sp|P21333|FLNA_HUMAN",45,2,45,6,3,13,49,51,48,44,45,48,39,36,35,39,38,41,24.6305925311501,25.4585802096826,24.2808132398193,21.3007987024398,25.2427186695821,24.1685662338972,24.662769953107,24.7509323447499,24.2335130412899,23.967987413695,25.144397476552,25.16809440375,20.759891839485,24.8542859227838,24.3129849903889,24.0308028323976,25.1760046396734,24.3347907465075,1.87901266512488,1.19098656389638,-0.6880261012285,5.13671164459152e-05,0.083820963535811,0.00025245001185536
"7","sp|P78527|PRKDC_HUMAN",31,NA,33,NA,NA,12,50,40,35,39,43,42,26,29,24,22,24,32,23.6926589167366,24.5497975912561,23.4547992947595,19.3749871914376,24.1504489092985,23.5670540116078,23.759101973011,23.9096462886538,23.2888534043091,20.4380386147056,24.1932117569581,24.0441249257621,20.5428774204474,24.1547527614062,23.550660019132,21.7043968722675,24.4156761444628,23.5187275834368,2.64357874390497,1.98535970840027,-0.6582190355047,1.55210093387237e-05,0.00767965104641698,0.000573469317477165
"8","sp|Q13813|SPTN1_HUMAN",23,3,16,10,8,14,35,43,36,31,45,42,25,29,25,33,31,30,23.325366810975,23.9941103151883,23.373934473566,21.5697368448965,24.3584953355867,23.4490129660896,22.7642920311848,24.3458572959372,23.2366765706101,21.7926642121302,23.7796322991643,24.2459612995686,21.4732874581409,24.6892422691531,23.6841922573192,23.4854992791849,24.5640984240932,23.4937043675716,1.88676488376842,1.17877254970213,-0.707992334066284,1.8300714256106e-05,0.00844369552031245,0.00172600072581007
"9","sp|Q14204|DYHC1_HUMAN",9,NA,11,2,3,9,46,42,31,30,26,28,10,15,14,14,14,20,22.4670721459192,24.0514734969712,22.5848841891621,20.9658932012085,23.7624313122351,22.8211626234521,22.2378567691619,23.3749294908746,22.6919069495816,21.4190243048119,23.6398962046409,23.6516485682432,21.1652114057067,23.3134587983465,22.9186431736645,21.8263761488665,23.8296625467065,22.6922895279233,1.98173631235002,1.21318350939202,-0.768552802958,1.17788660513121e-06,0.000686686697668098,0.00358598271824451
"10","sp|P42704|LPPRC_HUMAN",NA,NA,NA,NA,NA,NA,48,46,41,44,39,40,4,2,2,5,NA,1,19.1890912714861,25.445781871097,21.3326169532299,18.6927480922426,25.0431563140435,20.9010922704115,20.1389512287724,24.8839006445354,20.3722744519812,19.1487366122699,24.9727046423502,22.0558478967305,19.0437941257966,24.7298060726317,20.5125655425525,19.4563738485224,25.1145797180509,20.4332380177453,5.75337234726979,1.65632332559348,-4.0970490216763,7.28178003997812e-12,0.000141606221818096,2.60795065277349e-09
"11","sp|Q9NYU2|UGGG1_HUMAN",29,37,25,36,37,29,18,18,14,13,10,15,30,20,26,27,21,28,23.9226662403881,22.9926791595046,23.9972919148421,24.7899611215634,22.6710266813085,23.4903796222951,23.4861624550779,22.3473850938954,23.343107894046,24.644851749569,22.8199795583422,24.5324524794584,24.4565595908765,22.0555229118592,23.6610140989051,23.7758805992101,22.8575281233877,23.6545942946057,-1.55532670473123,-0.399540242088766,1.15578646264247,1.81904543599474e-05,0.241946098271212,0.000174215249591473
"12","sp|P14625|ENPL_HUMAN",36,39,29,42,37,35,34,31,26,28,28,27,33,31,33,33,33,36,26.9710517998451,26.4526833966544,26.8675901044505,27.4620068072866,26.2212735106665,26.4811142863972,26.6923853163007,26.0079456914431,26.4363572451491,27.5422891805052,26.29646928244,27.2969696829228,27.2791783874281,26.0062954279981,26.4538061508994,27.0132338913689,26.2712757917678,26.7463072383645,-0.950700380294116,-0.446333445758516,0.5043669345356,8.53102424076308e-07,0.0933694431895518,0.000117127354890576
"13","sp|P07437|TBB5_HUMAN",30,13,34,14,14,20,35,39,34,36,36,36,25,27,24,24,23,25,26.0801293465077,27.1831467934899,25.5651097504689,23.378987883659,26.9058734757191,25.5613653336886,26.1149291501456,26.7495796652601,25.2825463518362,23.8175464999784,26.8993493621498,26.254624410842,23.5369135530416,26.5769437518193,25.4089188575824,24.2923563207645,26.9539357608839,25.3540579216756,2.34132767587088,1.03429331199948,-1.3070343638714,4.45193672959038e-09,0.00473745089620244,1.11689709323507e-08
"14","sp|O43707|ACTN4_HUMAN",20,11,17,17,15,17,44,45,41,44,44,40,31,29,34,30,32,33,23.5622970499726,25.6464513701046,24.569014436784,22.666200593499,25.297641604247,24.2953223551127,22.870171662756,25.1654475819565,24.2678379586936,23.0576378068172,25.2392420404248,25.2579989193666,22.6347999740138,24.9283654792564,24.5048102608777,23.2079348058639,25.4088476114637,24.5273704530475,2.28115896575508,1.5705520818266,-0.710606883928483,1.81005662509132e-08,9.19904339649677e-06,0.000103910795554524
"15","sp|P08238|HS90B_HUMAN",30,22,34,17,19,23,42,41,39,38,35,37,26,30,30,28,29,28,26.7079547504326,27.6996950792552,26.3237476241434,25.2169120434077,27.4298593976745,26.2470678510117,26.6927571278075,27.3864428684873,26.1248965566288,25.5650919650639,27.4831810505001,26.9722731569121,25.3049077477568,27.0868759575571,26.1189927012389,25.711106399362,27.4921404698253,26.2948218034135,1.56324413157817,0.480511609919651,-1.08273252165852,1.77588493617846e-05,0.12044473420005,0.00209360123465647
"16","sp|P11021|BIP_HUMAN",30,37,30,38,38,34,30,28,28,29,29,29,31,31,33,32,37,35,27.428052010785,26.9970299001076,27.4789281963604,28.1820939344474,26.6184630245283,27.1042008911218,27.086445802351,26.4827251296197,26.9923948672036,28.0910981385863,26.7648241211621,28.0134296817715,27.9171333912093,26.6146546962977,27.3086356648315,27.4929880715846,26.8149352299514,27.2026858319065,-0.984196541216135,-0.349589369294717,0.634607171921417,0.000356671426672782,0.229416615897878,0.0187791870102541
"17","sp|P05787|K2C8_HUMAN",17,21,21,24,21,26,24,24,24,25,25,27,26,28,23,31,31,32,26.8207667858837,27.1086595640101,27.366289126489,26.8788004497618,26.5132517066473,27.1355289379523,26.0656873008727,26.8480832392625,26.8156906252785,27.0705258592763,27.0212187442786,27.9840554139458,26.7631425492726,26.9314947194817,27.3146451961321,26.9008458993443,27.0624556306224,27.2302803984988,0.164232459981866,0.55778680898085,0.393554348998984,0.0375810746181117,0.0521338232581893,0.0394259645748292
"18","sp|Q01082|SPTB2_HUMAN",28,5,24,10,7,13,25,25,30,20,36,36,24,24,21,25,28,24,23.8365359252446,24.1081682043237,23.5452892689115,21.5036158944257,23.875870720851,23.5473885669523,23.4885781344033,23.9980347922357,23.2095143484584,21.9752584816622,23.809340298917,24.2987978748327,21.2983081779244,24.4721345161369,23.81631592898,22.213566305178,24.6330362298005,23.6236409645428,1.7634536405711,1.28751400563992,-0.475939634931184,0.000128895997692096,0.00877675644577859,0.0216892514380367
"19","sp|P30101|PDIA3_HUMAN",35,39,32,40,37,34,34,32,29,31,30,30,36,33,34,37,34,31,26.5196759610758,26.0043655313308,26.6105582099076,27.2752749914853,25.674752931251,26.2973761480469,26.2617755743921,25.4722775840566,26.1787137781281,27.1259598290321,25.7567495218561,27.1554853198432,27.0233804300929,25.6514858777523,26.4236654284612,26.5672008544546,25.8661731962218,26.4620317781161,-1.05791049967737,-0.274239496338284,0.783671003339083,8.53102424076308e-07,0.339590252126137,1.62599056355244e-06
"20","sp|P68371|TBB4B_HUMAN",28,10,30,11,12,18,33,37,31,33,32,33,23,24,21,24,22,22,25.7968129790832,26.9467272090176,25.2403086220463,23.0011776004192,26.6597234291774,25.2708465103719,25.7915164570852,26.5164056703516,24.9966682054112,23.480362370959,26.6276032359513,25.9596016501218,23.172830796597,26.3368978174268,25.0933698486063,23.9369951469669,26.7007971860939,25.042678693456,2.43474319948468,1.07062969648383,-1.36411350300085,8.53102424076308e-07,0.00473745089620244,1.11689709323507e-08
"21","sp|P07900|HS90A_HUMAN",24,16,21,15,14,20,35,36,32,31,28,34,23,22,25,23,24,26,25.8478562178869,27.3314367745062,25.7727004745804,23.9900200622943,27.0391250503349,25.7605296140523,25.7840202257136,26.9821656016456,25.6663786463945,24.4146377562228,27.0820499353272,26.5555031875699,24.2057763987852,26.6904935960765,25.9020403373848,24.8663183931039,27.0894860421752,25.8673330424859,2.18435465767648,1.06930937474352,-1.11504528293297,4.45193672959038e-09,0.00162425296961613,1.62599056355244e-06
"22","sp|P00367|DHE3_HUMAN",29,38,27,38,36,34,30,28,25,28,27,29,35,35,36,35,36,36,26.189827272905,25.9901341810788,26.6312572247182,27.1194028130727,25.6000353879187,26.195448657496,25.9307208271339,25.4870922300285,26.0601853195346,27.0898637435079,25.7368361542166,26.9447488730632,26.8691882903113,25.510210503408,26.4321241196796,26.3476886754376,25.7746526587157,26.4581871784675,-0.907955084500349,-0.137456708234883,0.770498376265467,0.000916608309623708,0.676895373875722,0.000117127354890576
"23","sp|P13639|EF2_HUMAN",21,7,25,9,8,14,40,41,40,37,39,39,21,21,21,24,22,21,24.2585914797974,26.1556937599506,23.9417376393399,21.9364265912412,25.9274105970988,23.9024201994738,24.1838508467787,25.7565319926391,23.8485867437828,22.4910373775394,25.8382072483856,24.6292585553662,22.5493710609495,25.5607218570837,24.1477080093149,22.8748693754599,25.9162606271684,23.9818731343188,2.81011322509335,1.02623959163838,-1.78387363345497,1.09074343550496e-07,0.0143299807149454,2.43311098587605e-07
"24","sp|P11717|MPRI_HUMAN",18,37,23,32,34,31,7,7,6,8,10,11,16,16,18,17,23,15,23.2576135741808,21.7132708166775,22.6384593362406,24.2438818833436,21.4760715131065,22.722182256461,23.1772291195394,21.7798803297499,22.4822482582098,24.0202744780146,21.8204187563117,23.2975650649561,23.7933894807267,22.3619974355063,22.9536344945762,23.6107482191763,22.3471276888874,22.5604019937263,-1.76739503579035,-0.908107558468567,0.859287477321783,1.03761736190116e-06,0.00351381035954171,0.00172600072581007
"25","sp|P12814|ACTN1_HUMAN",14,6,12,10,7,9,41,34,29,33,30,30,26,20,26,25,24,27,23.2525461922328,25.1714636165114,24.1642703042108,22.1729899140225,24.7935624312825,23.8756901156813,22.4942226448619,24.5772162814423,23.819388977482,22.5516307053289,24.6482924032917,24.7820820849198,22.0962549428465,24.3062756210705,24.0005340792445,22.6969597816068,24.8878708865791,24.0220800811758,2.18667950987968,1.56657357696913,-0.62010593291055,6.49870991247236e-08,2.77961765111327e-05,0.0049988114151602
"26","sp|P13667|PDIA4_HUMAN",28,37,26,33,30,29,24,26,21,24,21,24,32,26,26,29,23,28,25.5803492079344,25.256258367174,25.7755724060134,26.4209216506597,24.8786058058967,25.3033638194084,25.2804285603861,24.4998557385199,25.2365365868779,26.3798693296265,25.0045836158152,26.310983952096,26.1648125788223,24.7615239432157,25.4935573011798,25.6694415496643,25.0951175374347,25.4535538648222,-0.999979644839517,-0.320375824449267,0.679603820390249,1.21165688155357e-05,0.312540007921389,0.000947578867986183
"27","sp|P06576|ATPB_HUMAN",20,27,22,29,30,28,17,17,16,17,19,18,23,22,22,23,18,23,25.7339040837912,24.3916957927113,25.8158273145516,26.4142510232625,24.0318736433446,25.5446305627114,25.5219133309155,24.660822546436,25.4509300628417,26.3726202647133,24.6227261550934,26.3969181658757,26.1739119308423,24.9227001717209,25.6486554573538,25.798544774749,25.0358305761269,25.7473049603654,-1.39158275380678,-0.235146480762366,1.15643627304442,1.25688077052704e-07,0.446899700780747,2.43311098587605e-07
"28","sp|P07237|PDIA1_HUMAN",30,33,29,32,33,33,25,24,24,27,24,23,31,27,30,32,29,32,27.171243696606,26.423831845688,27.3321386039801,27.8771336689271,25.9896018670862,26.7939511222692,26.8673400187361,26.0428297929145,26.7814717793212,27.8695351072582,26.2389089271254,27.8155197210429,27.5802291196355,26.0059470963756,26.9518492245947,27.2311397164392,26.2791080905842,27.0109243208433,-1.2693989513047,-0.318461092591784,0.950937858712917,8.53102424076308e-07,0.277973510432206,1.62599056355244e-06
"29","sp|P35579|MYH9_HUMAN",27,NA,31,1,2,6,NA,NA,18,1,31,23,12,17,12,12,14,9,23.6282379309502,20.2313816108517,22.2789433898067,19.7312724211447,19.9139321018603,22.5174735633284,23.6940495285062,22.8874893119749,22.1616518143522,20.3846947043248,21.0852980403435,23.3025850997032,20.2022006644501,23.9404533134621,22.6590548434564,21.4646225238781,23.8470344955596,22.2506082403281,0.466751850133001,1.01087319628682,0.544121346153817,0.32722488569912,0.179130435258764,0.49818938526554
"30","sp|P35580|MYH10_HUMAN",26,1,28,2,3,7,NA,NA,8,1,23,16,10,11,8,15,8,6,23.4519103515695,19.7694314054613,21.9259505203444,19.8849274044513,17.1153793035805,22.2798791843687,23.4558461754962,22.0378584226459,21.7097312984167,20.9629102987825,20.1890679067247,23.0556908739754,19.7226060886812,23.7065139346105,22.2582658245593,21.5305976760984,23.2421002124418,21.5138892421184,-0.4914078016024,0.622434824783966,1.11384262638637,0.350719944422285,0.609237839027402,0.25969298975446
"31","sp|P68363|TBA1B_HUMAN",17,8,17,10,9,13,30,29,23,25,21,28,16,15,14,17,15,15,26.1261358618452,27.0701768071999,25.5733025526852,23.1525813208121,26.820021448148,25.597225340318,26.1805559982481,26.6836302187205,25.3980599613311,23.7750236631962,26.7996672928881,26.0925353733518,23.5791208218718,26.5332940820203,25.4645324142531,24.5228075476236,26.9577608870927,25.409625299104,2.25472092041208,1.03317595457437,-1.22154496583772,4.45193672959038e-09,0.00162425296961613,1.11689709323507e-08
"32","sp|O75643|U520_HUMAN",15,2,16,2,2,4,28,27,18,26,19,19,13,13,15,15,12,16,22.3523074996054,23.5242372860029,22.2888384818908,20.0822894028307,23.2584215443807,22.3086859311468,22.1271796401808,22.8521578108308,22.1399509798468,20.054569542601,23.1831317970072,23.2454639230762,20.4787491327859,23.1998123576588,22.4921308101141,21.3343593598564,23.4034982608044,22.3076152411009,2.16530074647077,1.39220513155257,-0.773095614918199,1.12625706344535e-05,0.00416796127157791,0.0110157063311587
"33","sp|Q9BVA1|TBB2B_HUMAN",23,8,26,9,10,13,28,28,27,30,27,26,20,21,18,18,17,18,25.3702740738124,26.5107335082367,24.798549817507,22.3047344097886,26.1972081425878,24.8360065195143,25.3743191622917,26.1155469613137,24.5113831368272,22.9039884638591,26.2131788457218,25.4206377217566,22.5818986464115,25.8890791753542,24.5667822258513,23.427968791945,26.2526912713434,24.5505927394075,2.53587572607488,1.12012810212593,-1.41574762394895,2.04404847667007e-05,0.0106333099669991,2.43311098587605e-07
"34","sp|P06733|ENOA_HUMAN",15,11,15,15,14,17,22,25,24,22,20,22,22,20,20,23,22,23,25.2958532743269,27.0378364762749,26.1335629024018,24.3723169689643,26.7087755341039,25.9743547180859,25.0064558651592,26.7859619504066,26.0234203649762,24.7953104193365,26.882722613921,26.81100625561,24.5503348634473,26.4790480121575,26.0182422952073,25.2061974559731,26.9259292479282,26.0736708874296,1.93230083126413,1.30129809608392,-0.631002735180217,4.45193672959038e-09,8.45178134390602e-07,1.62599056355244e-06
"35","sp|P55072|TERA_HUMAN",10,6,9,10,9,11,36,32,26,27,24,27,21,21,19,22,22,22,22.6832814305939,25.1562168891654,24.0512539221867,22.1733671184883,24.8129571513826,23.8879389180265,22.5054062254285,24.6771233455027,23.7928256350427,22.7891060416767,24.8408129723708,24.7742518948417,22.2859341204645,24.5080094399879,24.0965316343439,22.7021349469646,24.8511871517978,24.0517700275543,2.28451284443178,1.58589035806322,-0.698622486368566,6.59304813779562e-09,6.94160407780207e-06,0.00025245001185536
"36","sp|Q9Y490|TLN1_HUMAN",10,NA,12,NA,NA,1,16,16,20,15,14,19,11,8,10,13,7,6,21.9634087161671,22.6903764734844,22.7125201785135,22.281780643794,22.3524395183864,22.5571341146093,22.096459249252,22.3380566681601,22.4771057947586,22.3260913542542,22.5464277393692,23.4998384680556,22.4253264322525,22.1395257474921,21.6221952929953,22.3265872096295,22.7554450768127,21.5366718338341,0.233769603059267,0.16430201290285,-0.0694675901564163,0.0150200676516466,0.501825288270543,0.454236507437199
"37","sp|P11142|HSP7C_HUMAN",16,13,13,16,14,16,27,27,29,26,24,27,22,22,24,24,24,24,24.5926307417632,26.4881955217562,25.325029527246,23.8958535189639,26.2491458670517,25.2624015715498,24.2693385952687,26.1506470782999,25.1109399612301,24.0354174822245,26.2577319647861,26.1660116413544,24.0076675567581,25.9673402597582,25.5008852683825,24.2597073516952,26.3858460794213,25.2940984931381,2.07304858739997,1.26645853603788,-0.806590051362083,2.59435333204055e-08,4.6078990862418e-06,0.000947578867986183
"38","sp|Q9Y4L1|HYOU1_HUMAN",24,30,23,29,26,25,20,21,19,19,20,19,25,22,21,24,23,24,24.3016333646583,24.0236474313084,24.2819963673578,24.9230719125047,23.663183468459,24.0230893458567,23.99207368522,23.5087895134433,23.8041109279294,24.7687255804387,23.6998072125322,24.7877209591855,24.6986346236351,23.4665870844762,24.0871687007011,24.2467858211532,23.8262492822173,24.019010194315,-0.7904434991956,-0.32130474871075,0.46913875048485,0.000328147165869955,0.118155142317613,0.0148950713746762
"39","sp|Q13885|TBB2A_HUMAN",21,8,25,9,9,13,25,30,25,27,24,24,20,21,17,17,16,18,25.3232887301422,26.4560096741754,24.7655397439678,22.5752429680707,26.1657525601814,24.8165052933925,25.3030309702603,26.0795326355369,24.4516350978108,23.0177342690931,26.1589883602607,25.4094437682407,22.697494275497,25.8243502843833,24.5211725601924,23.4636575723136,26.2142553757891,24.5497352058533,2.41974001749165,1.02226381401343,-1.39747620347822,1.25688077052704e-07,0.0106333099669991,2.43311098587605e-07
"40","sp|P14618|KPYM_HUMAN",24,17,25,18,14,23,30,29,26,29,26,28,24,24,26,26,23,26,25.1149947386453,26.1398484297675,25.1946793157507,23.2399825994518,25.8464202638714,24.8950552705856,25.1300903822109,25.7961795591626,25.0165991841278,23.6662967209504,25.992180638548,25.899740441877,23.3227051096011,25.6246370706415,25.1115981641154,24.263389563616,26.0449288550208,25.0819532597744,1.78445595042272,1.0770277536259,-0.707428196796817,1.25688077052704e-07,0.00473745089620244,2.55487131243219e-05
"41","sp|Q9BQE3|TBA1C_HUMAN",17,8,17,10,9,11,31,29,23,24,21,28,14,14,13,16,14,14,26.0368803961952,26.9234456431116,25.4542256091241,23.0485339357331,26.6615666412847,25.4964951748239,26.087877320594,26.5296146359823,25.3148805336291,23.6933084965988,26.6844745857032,25.9390239656965,23.4686398268823,26.4096961184324,25.3605486703515,24.4283822821652,26.8089706538765,25.3002603823203,2.20902433670368,1.01696867962947,-1.19205565707422,4.45193672959038e-09,0.00473745089620244,1.11689709323507e-08
"42","sp|P23141|EST1_HUMAN",22,29,21,29,28,27,21,20,20,21,15,17,21,20,22,23,23,26,25.2640231678175,24.3699588394564,25.4634965595595,26.3601712786703,23.9789440611531,25.0271200339807,24.986748255246,24.4709775499839,24.9072988017349,26.1723882877222,24.1545417130954,26.1581039182145,26.0741401558114,23.7672360069299,25.268277989259,25.491982727206,24.2549797135336,25.214975086043,-1.55880266472018,-0.385030247280299,1.17377241743988,8.53102424076308e-07,0.255976448904034,1.62599056355244e-06
"43","sp|P25705|ATPA_HUMAN",24,26,22,25,28,24,20,19,21,21,22,20,24,23,24,26,25,25,26.0827204741159,24.6421464675381,26.2573521597856,26.698431256746,24.2727301515056,26.0701946631566,25.7875428233365,25.0178988748776,25.93892690305,26.6302949023989,25.0103286769274,26.8566157797266,26.5105389127069,25.3532565536196,26.2623262941641,26.2257359650753,25.4534142031849,26.1210651841378,-1.36424823445438,-0.0714638917264671,1.29278434272792,2.38815214740036e-05,0.848283227192412,2.55487131243219e-05
"44","sp|P60709|ACTB_HUMAN; sp|P63261|ACTG_HUMAN",17,11,15,12,11,15,25,27,26,25,25,25,18,21,18,21,19,24,26.6781271749783,27.8375955015779,26.8859048608773,25.1487536770452,27.5870890459993,26.9956687431252,26.6050132818812,27.5962277535887,26.7747661513853,25.6413941604137,27.7737307151966,27.7170073837195,25.3297945593283,27.6472279495784,27.0792209198739,25.8993016914835,27.921265286736,27.0359832332154,1.84345861792445,1.1976944578444,-0.645764160080049,1.93381855241725e-06,0.000226110925082456,0.0371612029613287
"45","sp|P05783|K1C18_HUMAN",16,19,11,17,16,17,15,15,18,18,17,16,22,18,20,23,19,23,25.5175383206074,25.175813425367,26.0931809044068,25.8523511974881,24.8034427663805,25.7717666049259,25.0438228153912,25.16068746304,25.7183630268245,25.9746899327126,25.2771891951101,26.6701938586509,25.5862658842405,25.2827010281282,26.0874050539223,25.7596600546979,25.2660581867921,25.9373835192444,-0.461406023386633,0.423994127139517,0.88540015052615,1.21165688155357e-05,0.11308499334044,2.43311098587605e-07
"46","sp|Q15149|PLEC_HUMAN",17,NA,13,NA,NA,3,11,5,8,8,15,7,14,16,12,10,11,11,22.5922399627927,22.4715045510005,22.7527244544353,21.7953907869559,21.8536108152404,22.4978603623176,22.3173801793054,22.2490505031465,22.1873245840341,22.0541654245775,22.3239335315563,23.2665836851817,21.8091471451874,22.4536400162479,22.5464104287167,21.7515711291438,22.2940414037783,22.4800875609242,0.220981032167867,0.568516074607817,0.34753504243995,0.0215721286587428,0.0452332698587195,0.0406845279366526
"47","sp|P0DMV8|HS71A_HUMAN; sp|P0DMV9|HS71B_HUMAN",23,17,21,20,16,21,22,22,22,21,21,21,18,20,24,19,23,23,25.1218940714246,25.4776808302023,24.6015471768111,24.0065904336931,25.2142280979934,24.6895392869925,24.9292246312017,25.0995001529635,24.6267665656463,24.3126610005498,25.2901571121603,25.6117387453709,24.122938868919,24.9562378859203,24.9993426185506,24.2523980665671,25.4211002017561,24.7947957027784,0.785532868106767,0.429670503965751,-0.355862364141017,0.00146891886729372,0.153675991328659,0.00250146373311968
"48","sp|Q13509|TBB3_HUMAN",16,5,20,6,6,11,23,23,18,22,20,21,16,16,16,14,16,15,25.0270859400405,26.079782935964,24.4744424503074,22.317745335407,25.7890394567095,24.503160683694,25.034585902148,25.7366226199957,24.1581574007566,22.8655363839186,25.806386777202,25.0855064975733,22.5793893725277,25.4737301472445,24.2370703206133,23.2201493514585,25.8087077419119,24.2494092065539,2.27496289892122,0.943875712333033,-1.33108718658818,1.25688077052704e-07,0.0175754191192092,2.43311098587605e-07
"49","sp|P27797|CALR_HUMAN",21,29,17,24,25,23,20,23,19,18,18,18,19,19,20,20,20,22,26.174475281879,25.8027333805038,26.0931102858023,26.6778181223913,25.3513206133956,25.6031190900361,25.6863969732137,25.2751807707869,25.4426050259198,26.6039211523699,25.3373062572383,26.5146687920148,26.4655385058886,25.0248833177235,25.7659086488895,25.9698495159473,25.4480323449018,25.8457161051757,-0.889757144523317,-0.385478600641934,0.504278543881383,0.000918155905101243,0.140949618689561,0.000947578867986183
"50","sp|P01024|CO3_HUMAN",9,17,5,18,17,13,15,14,10,11,15,13,1,NA,1,3,NA,1,22.3172294530154,22.9290728939296,20.2672756211151,23.036466932067,22.7114142852324,20.1530959964813,21.8478587023209,22.4158849957853,20.4383171193329,22.8608732855092,22.5018852804129,21.9326798279295,22.7885089563769,22.6945295233775,20.4171229147953,22.2372958976554,23.0050130018667,20.3971340599503,0.1949277922766,-1.91376794789007,-2.10869574016667,0.303982651788979,2.65607493106363e-05,7.16064301082786e-06
"51","sp|Q08211|DHX9_HUMAN",17,2,16,7,4,12,28,23,21,22,20,25,17,20,17,22,19,20,23.2186063947461,24.1223520238015,23.2939527494838,19.8116374099855,23.6530979588767,23.139107105269,23.143685263584,23.1774136068033,23.2287500058695,21.1754915313119,23.4831760060101,24.0000540015417,20.6287254203467,23.6539524015547,23.3676285740199,22.116622061676,23.951339859542,23.1983820900377,1.99109396248968,1.68885107409523,-0.30224288839445,0.000264882174442644,0.00536312706962302,0.0278944504268261
"52","sp|O60701|UGDH_HUMAN",16,10,13,10,10,13,23,24,20,24,21,24,17,14,17,20,18,16,23.5606677546671,25.5654692476275,24.2017238576315,22.3587433439755,25.2544159450869,24.0868186325312,23.4188349475065,25.1084788332968,23.9231426575876,22.6294179905227,25.2066835168396,24.9349679689706,22.4377929567447,24.7912780711814,24.0447386272223,22.9636059184027,25.3185888706889,24.1504659538322,2.31264192881698,1.3287991309927,-0.983842797824283,6.07894606671401e-08,2.97755584229013e-05,0.00025245001185536
