"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","abundance_A_2","abundance_B_2","abundance_A_3","abundance_B_3","log_ratios_B..vs.A.","differential_abundance_qvalue_B..vs.A."
"P00925",98,98,106,76,75,76,32.780622363711,31.6886092091655,32.9932713344561,31.6841045937109,33.0495449765719,32.0508458857339,-1.13329299537623,0.0531322978535179
"P49327",88,83,85,84,89,94,29.4012248419293,29.5290054677067,29.7266079610824,29.4541785344352,29.8449146108616,29.8376139790143,-0.0506498109056999,1
"P63261",69,74,79,75,81,86,32.5267999682524,32.459471142836,32.7956136325577,32.5519026620193,32.821258597216,32.8229736596876,-0.1031082444944,1
"Cont_P60712,P60709",68,73,77,76,80,85,32.54791873756,32.4907752415924,32.8188175570082,32.5710853067854,32.8415833502356,32.8429804042003,-0.101159564075237,1
"P08238",84,85,94,88,85,90,32.4318103859941,32.5459298868849,32.907017169287,32.6824541539916,32.9523480999415,32.9743463148387,-0.0294817665024686,1
"P06169",84,81,93,65,66,70,32.2211301062509,31.0764736091483,32.6112558390371,31.3158441595711,32.6089568357115,31.590250893751,-1.15292470617637,0.0561284181598124
"P21333",72,67,77,76,77,78,28.928095612615,29.0028433371504,29.3791073010817,29.22097576829,29.5293774102955,29.5865107746981,-0.00875014795123263,1
"Cont_Q2KJD0,P07437",78,77,80,84,84,91,31.7348033566071,31.9521037508032,31.95893541681,31.7777357000492,32.0736766071483,32.10453796946,0.0223206799156657,1
"P78527",78,75,80,76,77,86,28.710006255262,28.6887143116597,29.3119846796383,28.7588644713591,29.1697135619435,29.1044019957442,-0.213241239360266,1
"P68371",75,76,78,82,81,87,31.4897438581443,31.6989218742336,31.7170721463992,31.5106420081489,31.8029390269286,31.8170680638844,0.00562563826493327,1
"Q14204",74,65,71,68,76,81,28.1352550850229,27.9686276863506,28.5030219808751,28.1489571977143,28.5432882904463,28.4891563354462,-0.191608045611067,1
"Q9BQE3",62,63,68,68,69,70,31.1783669979498,31.29824412189,31.3390462761029,31.258913755784,31.514866201506,31.5784872909185,0.0344552310112671,1
"P00359",76,75,77,62,56,61,33.3484946272064,32.2219997560815,33.6477305811269,32.3795150707914,33.5875852584281,32.6794593741887,-1.10094542189993,0.0561284181598124
"P00924",73,73,76,57,58,59,32.5733510977804,31.4883893539173,32.802673534451,31.5309455218289,32.8830255347102,31.8758869339092,-1.1212761190954,0.0535112006627348
"Q9Y490",60,70,62,69,65,73,28.3460521477192,28.5887770733143,28.8293511139856,28.4230353563853,28.8906318533462,28.8961232925016,-0.0526997976165996,1
"P07900",69,72,75,71,69,71,32.0175455183978,32.1579221860601,32.5067457015326,32.2834625740686,32.5546808850747,32.577420990648,-0.0200554514094691,1
"Cont_P81948,P68366",61,60,63,65,71,65,30.6347293061244,30.7623367177482,30.9072519432289,30.6804361471385,30.9878568525411,31.0111707693488,-0.0252981558862982,1
"Q9BVA1",66,68,68,74,71,78,31.2526839094713,31.4976066502102,31.5098114821174,31.2793714026789,31.5768975181252,31.5987348511438,0.0121066647730004,1
"Cont_P68103,P68104",62,65,72,64,66,65,32.6336454828855,32.3746498940048,32.9768837084262,32.5530126005501,33.0253227593742,32.8727362122912,-0.278484414613267,1
"Q13885",63,66,69,72,74,72,31.2529162955461,31.4976978845211,31.5113765008229,31.2813942411665,31.5786115549253,31.6001698358432,0.0121192034121655,1
"P00549",61,62,71,55,44,59,32.2161340784167,31.2028951837299,32.5620413743235,31.2202940344164,32.6103250285934,31.6120329125614,-1.11775945020863,0.0561284181598124
"P11142",65,67,64,63,57,67,31.9269151436799,31.9160501920046,32.297533020793,31.9487406153896,32.3006156542453,32.2467321915603,-0.137846939921232,1
"P04406",49,49,56,53,56,60,31.8357891526143,31.4687723059485,32.0825043048804,31.4444979190026,32.0631060340435,31.8084296589025,-0.4198998692282,0.951248179141054
"P06733",55,56,56,58,54,54,31.8487562585032,31.8371571704949,32.1606593072174,31.9395137543413,32.213920742402,32.2575799109225,-0.0630284907879677,1
"P14540",57,57,55,40,39,46,31.2682769896663,30.1066209238739,31.5125695257008,30.1780602666106,31.5395515734116,30.5303198868888,-1.16846567046847,0.0165762914140767
"Q00610",56,52,61,57,61,67,29.1024013814668,29.2102336025807,29.4936763967961,29.2006781885623,29.5411723762195,29.5275922605937,-0.0662487009152339,1
"P10591",69,63,66,55,47,55,31.6735625959437,31.0427858838743,32.0099270034362,31.0726852864762,32.0373126798439,31.3262359449033,-0.759698387989999,0.163451902701955
"P13639",61,61,64,58,65,69,30.8393353841206,30.6688648634235,31.1607136182298,30.9290874361096,31.2046703893999,31.2146766336424,-0.130696819524932,0.980262500853008
"Q15149",48,40,50,52,49,52,29.2242527125144,27.2538014734717,29.5959292077884,28.6406032914876,29.7217076214086,29.069264221029,-1.19274018524103,0.222987158400933
"P10592",61,59,64,51,43,55,31.5547848546742,30.9577537148334,31.8951498741607,31.013045743964,31.9511157103989,31.2517499462344,-0.726167011400666,0.201894462180771
"P04075",49,55,60,54,56,57,31.139293252879,31.1922598498708,31.6316696582984,31.2769984425585,31.6008991534709,31.6210483350272,-0.0938518123972649,1
"P49792",37,44,46,45,45,48,27.4770679863323,27.4384100184109,27.8417383360698,27.4772503472521,27.9965620152441,27.8694442688585,-0.176754567708233,1
"Cont_Q2HJ86",51,48,65,48,53,53,31.0870446807141,31.2449136936929,31.2418861476502,31.1636886746165,31.4221321537193,31.4807783699889,0.0461059187382335,1
"P00560",66,54,64,52,53,53,32.8165708180427,31.9578154305152,33.1735899171699,31.8972691983316,33.20786050365,32.227519439416,-1.03847239019993,0.0606861827534746
