"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"Biognosys|iRT-Kit_WR_fusion",11,11,11,11,11,11,0.450796707536564,0.59936145558494,33.6360785346116,33.6161985180524,33.4700777927283,33.7275801783246,33.6536492270413,33.6125259590039
"CON__A2A4G1,P19012,Cont_P19012,CON__P19012,Cont_O77727",0,1,1,1,1,0,0.81829534087793,0.881512832841269,NA,25.7554894225719,25.7289416958494,25.4839657146794,25.8948634361147,NA
"Cont_A2I7N1,CON__A2I7N1,Cont_A2I7N2,Cont_A6QPQ2",7,7,6,6,6,7,0.107688597937977,0.248599226775468,25.0282373367828,25.1692149448247,23.9750979501561,25.5030222489309,25.3173007179871,25.2814729419725
"Cont_A2I7N3,CON__REFSEQ:XP_001252647,CON__A2I7N3",1,1,2,1,2,2,0.164399224648577,0.323231017399752,23.8342807840399,23.4305165955501,24.4182727183767,24.0020244529513,24.4908435095022,24.6794725108948
"CON__ENSEMBL:ENSBTAP00000007350",12,13,12,17,15,14,0.0475709025922404,0.144660222151358,23.8510411750409,23.5721904564152,24.3555345267723,24.7430811437566,24.3042505074542,25.5155462500739
"CON__ENSEMBL:ENSBTAP00000014147",3,3,2,2,2,2,0.784188431360824,0.857345404070026,26.6597728288411,26.6947652518438,26.6528064900417,26.3028093124813,26.7849316569314,26.7759804917481
"CON__ENSEMBL:ENSBTAP00000024146,Cont_Q7SIH1,P01023,P20742",25,24,26,24,23,26,0.761165977341428,0.841279945634913,28.830252806943,28.7713969372313,28.5906562407707,28.9384461423158,28.6019003120204,28.7876900998893
"CON__ENSEMBL:ENSBTAP00000024466,CON__ENSEMBL:ENSBTAP00000024462",8,10,9,9,9,8,0.871243716839593,0.91565793045293,26.4833567193948,26.6645676664687,26.5065640064889,26.2982350873448,26.8346288595165,26.6084403297446
"CON__ENSEMBL:ENSBTAP00000031900",0,2,2,1,1,2,0.754485364378943,0.837377625901569,NA,24.3138931818863,24.9397907457126,22.6935301881381,24.9985250972442,25.3093321112462
"CON__ENSEMBL:ENSBTAP00000034412",5,5,4,5,3,6,0.946991392859108,0.963200468250373,27.5044653682707,27.389890387091,26.5232249676458,27.4376200320573,27.2234557659027,26.8226016537066
"CON__P00735,Cont_P00735,P00734",9,8,10,10,10,10,0.315462399834403,0.480953993831442,28.74131274065,28.4126753530597,28.7022110366088,28.9102598740314,28.6011035325284,28.8536200510632
"Cont_P00761,CON__P00761",7,5,6,5,6,6,0.662831167240432,0.770354400766549,33.4612600368367,33.4538864511921,33.3931823084109,33.5795975048732,33.4936751890676,32.9764544318228
"Cont_P01044,CON__Q2KJ62,CON__P01044-1,Cont_P01045,CON__P01045-1",2,3,2,2,3,2,0.970387694865433,0.9803657733416,24.2373675093382,24.3545035704369,24.2733720669009,24.1286901141436,24.716833057299,24.043643575927
"Cont_P01966,CON__P01966",7,7,7,7,7,7,0.353324343481966,0.517137426521996,31.8714083146657,32.2831096517299,31.8562598033608,32.3409622497247,32.0629241707064,32.1201603410961
