"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"A0A0B4J2D5",-19.3094743595,-19.4143216292,-19.1354095674,-20.2858207437,-19.1166904157,-19.8093768369,12,13,19,10,14,17,0.246238067855089,0.596371882086168,0.450894146733333
"A0A3B3IRV3",-20.9300630911,NA,NA,-21.0761041395,-21.8813441372,NA,4,4,5,4,3,5,NA,NA,NA
"A0AVT1",-21.1708106835,-20.8767558052,-20.5856491841,-20.2889274667,-20.8451422624,-20.424308982,21,27,33,33,31,40,0.285407274295572,0.647058823529412,-0.358278987233334
"A0FGR8",NA,-24.6208677426,NA,-23.7166705655,-23.8025401955,-24.9395093716,2,2,2,7,2,2,NA,NA,NA
"A0JLT2",-23.2735692101,NA,NA,NA,NA,-22.8048107258,1,NA,NA,NA,1,1,NA,NA,NA
"A0MZ66",NA,-24.4037915645,-22.9807229043,-23.9917823544,NA,-22.962508368,4,6,11,5,5,9,0.703909574468085,0.878457059679767,-0.215111873199998
"A2RRP1",-26.4035995518,NA,NA,-24.9075482148,-24.7544123281,-25.1743489417,5,5,3,4,5,6,NA,NA,NA
"A3KN83",-24.5977350288,-25.1413844983,-24.2440067494,NA,-23.9442133955,-23.7085855017,6,5,10,4,9,9,0.0578900230017251,0.285451197053407,-0.834642643566667
"A4D1E9",-22.5308298282,NA,-23.5921210902,-21.3774917593,-23.4006799592,NA,4,3,2,7,3,7,0.361011500862565,0.711309523809524,-0.672389599949998
"A5D8V6",-23.5872301325,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA
"A5PLN9",-23.5852049684,NA,NA,NA,NA,-23.3936105603,2,NA,NA,1,NA,1,NA,NA,NA
"A5YKK6",-23.6919597242,-23.4517087476,-22.5581629898,-22.5523931942,-23.3741887431,-22.4728542647,25,21,34,30,30,41,0.312041834387579,0.672067401166559,-0.434131753199999
"A6NCE7",-21.2520058723,-21.616056137,-21.8876342529,-21.265180843,-21.3681534381,NA,3,3,2,3,2,NA,0.413926250718804,0.750406063887385,-0.268564946850002
"A6NDG6",-20.6234831089,-21.4350580377,-21.1850990836,-20.4523280646,-20.8006967166,-21.4628195346,10,7,7,10,11,10,0.637190770557792,0.863582908663269,-0.175931971466667
"A6NDU8",-22.0648159629,NA,-22.5816846893,NA,-22.5325570343,NA,1,1,2,NA,1,NA,NA,NA,NA
"A6NHG4",NA,-21.3617255979,NA,NA,NA,NA,3,4,3,1,4,2,NA,NA,NA
"A6NHL2",-22.2056707955,-23.0987067625,-22.484685864,-23.1021245127,-22.2243099843,-22.1756523821,24,21,19,22,21,21,0.790189189189189,0.915853248064625,-0.0956588476333344
"A6NHR9",-22.3883491354,-21.8956764244,-21.5792497358,-21.9391710433,-21.8383023351,-21.6057672288,39,36,45,41,43,52,0.618653824036803,0.85880933226066,-0.160011562800001
"A6NJ78",NA,-24.1335133793,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"A8CG34",-24.3093496001,NA,-24.6178083135,NA,NA,-24.3829474037,2,NA,1,NA,NA,2,NA,NA,NA
