"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"Q86U42",5,7,8,6,7,8,22.1066571019255,22.1288583646778,0.145947188631169,0.137702356049743,0.289928792719332
"O75822",13,13,14,10,13,15,22.5286939043552,22.5304692337617,0.0636991026991205,0.250877360560782,0.469906328920503
"Q9H3H3",NA,NA,4,3,4,NA,19.5340932538789,19.5259429248315,0.178635253165875,0.154734092536803,0.317559935910643
"Q96P70",7,10,10,9,10,13,20.6184957816541,20.6181142925249,0.0580439721034109,0.324163226285678,0.579156906919194
"P28482",14,12,15,14,14,14,22.4761551465916,22.4909166855092,6.0741407393212e-20,0.999999999420447,1
"Q8WVM8",11,11,16,13,15,12,20.6625200446614,20.6825775683903,0.153481610618176,0.0639717542831942,0.153261233579629
"Q9Y2Z0",13,15,14,12,18,15,21.7365576423738,21.6313054266917,0.0890713735126279,0.0566955122217167,0.138591699155544
"Q7L5D6",6,NA,NA,7,5,5,20.5366852897501,20.672577893274,0.15019810094434,0.148476098895798,0.307782470186798
"P27361",NA,NA,1,NA,NA,NA,20.6570718519773,19.6401478341177,-0.720072696286856,0.0278592265517154,0.0754553417731672
"Q5VYK3",29,25,30,31,30,19,20.4095478481445,20.4019182485458,0.17823180266127,0.0476342666729068,0.120053335271297
"Q99615",14,14,14,18,12,11,21.9373108280316,21.9650110104162,0.133122071717174,0.0399498591548377,0.102934675062197
"O43324",8,6,8,8,8,7,22.6806543096277,22.7189804350859,0.230038836656932,0.00644581866856422,0.0215445700457399
"P42566",19,15,17,20,17,17,20.1624755357549,20.2132156385918,0.260040024009385,0.000216932581312158,0.00112442413440237
"O00231",17,20,24,21,23,23,22.6426814802277,22.6552751841576,0.249426196895097,1.52605449787408e-05,9.95713246275656e-05
"A6NHR9",43,40,43,38,41,40,20.8568915158985,20.8454163833756,0.108710243141165,0.0174151213747539,0.0505158750923254
"Q96EV2",NA,5,NA,5,NA,NA,20.4699363201011,20.5538264953875,0.0487738932000602,0.60569085502694,0.983736076196627
"P62877",1,2,2,2,4,3,21.0809950019095,21.0675469637535,0.00312076797223463,0.887693013383115,1
"Q5VWZ2",NA,1,NA,NA,NA,3,20.5855520873959,20.5431862933057,3.35541127599883e-12,0.999998737836512,1
"Q9NWH9",11,12,12,7,8,12,20.5756253372258,20.5171639916668,2.89663123838941e-20,0.999999999661435,1
NA,NA,NA,NA,NA,NA,NA,19.5585398668647,19.7904474822831,1.12176935184386e-19,0.999999999572057,1
"Q9NS69",7,7,9,9,7,7,21.4100791355931,21.4020738887715,0.0569666427278536,0.29326499080084,0.533368767947681
"O75427",1,NA,NA,NA,NA,NA,18.7167662799768,18.4039505734921,-1.09437794165382e-19,0.999999999847033,1
"O43583",7,8,6,7,7,7,21.6475756825681,21.4799642956019,2.78162871629564e-08,0.999592756637175,1
"Q92616",60,64,63,66,61,71,21.2889587133542,21.2512237892087,0.134770169384839,0.000838507105875387,0.00366188303845201
"Q8IY67",12,13,14,12,15,12,21.7548217397473,21.6231106879228,2.48976529365372e-19,0.999999998262534,1
"Q96BP3",13,11,13,11,10,8,20.1074638921907,19.9819646045092,6.36148283930521e-20,0.999999999289468,1
"Q9UL63",6,5,7,6,6,6,19.3770203236584,19.5698238433829,0.471220273850616,0.00485206699539069,0.0168421025850836
"P30566",12,11,11,13,13,10,21.2405655993722,21.1958619585232,0.117227922559125,0.0357196717752614,0.0937946228818766
"P26641",25,23,25,28,22,25,24.1626853316941,24.148436913274,0.140104450268671,0.00158372216423775,0.00639810445762436
"O95249",3,NA,NA,3,NA,1,20.2593276411926,20.5267246690946,0.434829019057311,0.0297689001412719,0.0801011123670698
"P52272",48,52,60,48,54,55,22.2732636657852,22.1421115429856,0.025055028568092,0.294243324172816,0.534810881270629
"Q9H7E9",NA,3,NA,2,2,4,20.3164249344488,20.2490004719442,0.0399011378208375,0.559581191197135,0.91684859188193
"P35269",7,8,9,10,10,12,20.8649341778198,20.6871954007279,3.90954735590346e-20,0.99999999951427,1
"Q86Y56",9,8,18,14,11,15,19.9596999903812,20.0438073635205,0.235153815233434,0.000664940684753489,0.00298990086542703
"Q9P000",NA,NA,1,NA,NA,2,20.4217544219413,20.5325191242259,0.0904162807704902,0.744772772390644,1
"P27708",51,54,56,64,61,65,20.845985449992,20.7958740782244,0.10531836199935,0.0289344661589012,0.0781474416061334
"Q9NXG2",10,10,13,8,11,9,21.6818479234483,21.7290641189304,0.189029050479067,0.007437091728332,0.0245309217728687
"Q9H0S4",10,7,6,11,8,7,20.3719885198424,20.3139388810638,0.0575950282033658,0.359295953358585,0.629832377674165
"Q96G03",13,15,16,13,14,18,21.3328446588369,21.1778962081417,3.93223996749941e-21,0.999999999942111,1
"Q5RI15",NA,1,2,3,NA,NA,21.3246375423642,21.2806292217812,3.5666412853244e-18,0.999999998008817,1
"Q3MHD2",5,5,6,5,4,6,21.4672033540212,21.5177889410441,1.15261526723972e-19,0.999999999336747,1
"Q92979",9,7,6,8,8,10,20.3054216273492,20.3439737586082,0.0797342053195132,0.381217527136785,0.660235338952901
"Q13144",5,8,7,8,7,8,21.0495951687245,21.126071290434,0.276461801679259,0.00139091764802939,0.00570305892784758
"Q16401",14,14,14,13,17,16,22.1499855953353,22.0632352253448,0.137101474766811,0.00403315306627681,0.0143536459218698
"P62826",6,9,8,7,8,8,21.4330639614521,21.3006866722971,0.0253701657774387,0.627429996575985,1
"Q9Y5J7",5,5,4,4,5,4,22.2470555355415,22.2536391983425,6.49140706125498e-20,0.999999999524523,1
"O14497",26,23,24,23,29,29,20.336607934995,20.3168944739841,1.80835577875302e-11,0.999989810954279,1
"Q13263",43,40,41,40,48,46,21.195373219841,21.1857698423219,0.140002250796104,4.3483078820655e-06,3.19966685862702e-05
"P14550",11,9,11,12,11,11,21.4080465093643,21.3183180260866,2.79174289898293e-20,0.99999999964438,1
"Q8ND24",5,4,2,5,4,3,20.0613722179505,20.0323442879361,0.107902020826113,0.2723617220693,0.502158764658929
